epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.646,1.98113,1.46712,1.44763,0.60483,0.52674,0.52444,0.13619,2.67516,1.53051,1.89354,0.0667361,6.65411e-06,6.65411e-06
2,474.055,1.9549,1.31756,1.38274,0.78833,0.67869,0.74958,0.23653,2.36486,1.37574,1.66951,0.0334094,1.32944e-05,1.32944e-05
3,701.72,1.92793,1.23087,1.3722,0.7647,0.68308,0.72048,0.21148,2.3742,1.30015,1.62113,8.26829e-05,1.99083e-05,1.99083e-05
4,932.272,1.92175,1.22889,1.36366,0.79119,0.7309,0.75849,0.2274,2.28442,1.20496,1.56593,1.98812e-05,1.98812e-05,1.98812e-05
5,1155.6,1.88123,1.13385,1.32689,0.81772,0.75774,0.79078,0.24603,2.24763,1.15278,1.53762,1.98416e-05,1.98416e-05,1.98416e-05
6,1382.35,1.8572,1.09319,1.32815,0.839,0.78153,0.82089,0.27489,2.17347,1.1191,1.50066,1.9802e-05,1.9802e-05,1.9802e-05
7,1606.57,1.85179,1.07118,1.3241,0.83419,0.77703,0.81722,0.2926,2.11853,1.10888,1.47194,1.97624e-05,1.97624e-05,1.97624e-05
8,1833.33,1.82481,1.03069,1.30626,0.83305,0.78176,0.81509,0.30454,2.08986,1.09027,1.4536,1.97228e-05,1.97228e-05,1.97228e-05
9,2061.24,1.80172,1.0078,1.3018,0.83312,0.78068,0.81379,0.31064,2.0685,1.08695,1.44749,1.96832e-05,1.96832e-05,1.96832e-05
10,2288.09,1.80501,0.99544,1.29995,0.84372,0.78928,0.82728,0.32242,2.04882,1.06721,1.43652,1.96436e-05,1.96436e-05,1.96436e-05
11,2516.7,1.78697,0.97778,1.29181,0.8374,0.78998,0.82452,0.32343,2.04011,1.06903,1.42951,1.9604e-05,1.9604e-05,1.9604e-05
12,2741.8,1.78933,0.95791,1.28508,0.82427,0.77752,0.80912,0.32084,2.04326,1.09123,1.44226,1.95644e-05,1.95644e-05,1.95644e-05
13,2967.01,1.77049,0.94647,1.28198,0.83717,0.78027,0.81675,0.33152,2.02269,1.08608,1.42533,1.95248e-05,1.95248e-05,1.95248e-05
14,3191.12,1.76325,0.92818,1.26677,0.8493,0.79374,0.83963,0.33874,2.00438,1.06002,1.41527,1.94852e-05,1.94852e-05,1.94852e-05
15,3419.07,1.74727,0.91511,1.26713,0.84724,0.79505,0.83329,0.34041,1.99261,1.05295,1.40915,1.94456e-05,1.94456e-05,1.94456e-05
16,3646.39,1.73614,0.90409,1.26778,0.87206,0.81179,0.86193,0.34259,1.99435,1.01693,1.408,1.9406e-05,1.9406e-05,1.9406e-05
17,3871.41,1.73934,0.89787,1.25795,0.87289,0.81404,0.86321,0.34959,1.97878,1.01901,1.40381,1.93664e-05,1.93664e-05,1.93664e-05
18,4100.18,1.72086,0.88278,1.26269,0.87109,0.81203,0.86423,0.35362,1.96898,1.01734,1.4011,1.93268e-05,1.93268e-05,1.93268e-05
19,4327.44,1.72537,0.86848,1.25102,0.87458,0.81406,0.87039,0.34573,2.00101,1.0098,1.4088,1.92872e-05,1.92872e-05,1.92872e-05
20,4554.01,1.72618,0.87078,1.24581,0.86893,0.81222,0.86569,0.34618,1.98884,1.00943,1.4014,1.92476e-05,1.92476e-05,1.92476e-05
21,4782.07,1.71032,0.85793,1.24724,0.87497,0.81219,0.86914,0.35426,1.97558,1.0017,1.40224,1.9208e-05,1.9208e-05,1.9208e-05
